ImageID,Transcriptions
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,τησρθεμεν και εδιδαχθημεν δμβολος τοῦ γαθά
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,μολειν αὐτη διδειγματα περι τῆς ἐν τοῖς νο
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,εκ τοις αληθείας ἐν τῷ οικω του ἀβρααμ γενο
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,μεν ηπαραδοθησεσθαι κατηγορουμενα δε αυ
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,τα πολλαχουκατειληφαμεν πρω το ύμεν εκ
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,του ὁ τε αναβαινεια εμευλλος εἰσμεθηλ προστα
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,λοκναι παρα του ιακωρτας γυναικας περι
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,ἐλεσθαι αυτα των θεοντῶν ἀλλοτριων ως εμ
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,ποδιουον τος εκ τῆς ἐιδωλολατροίας καιτ
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,των ἐνωτιων χρήσεως προς το ανελθετω ἐις
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,τοοικοήκύ κεθηλγαροιμυθυερηνευεται
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,επειτα εντηδοδωκατα στασίασθεις υπο του
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,λαουὁααρῶν ἐις τοποισαι ειδωλοη ς
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,όπι τηδειαν χην εισκατασκευην των απηγο
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,ρευμένῶν τα ενώτια εξελεξατο περιειλο
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,τὸ γὰρ πας ο λαος φησι τα ενωτια τα χρυσα
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,τα ἐν τοῖς ωσιν αυτων και ηνεγκαν προς ἀα
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,ρων καὶ ὅπλασαν αὐταμος χοηχων εὐτὸν ἀλλ
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,λακαιγεδεων εκτῶν σκύλωντων ισμαρχεητι
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,ψξωνλαυων τα ενωτια παρα του λαουεποιη
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,σεν αὐτα εισεφουι καὶ εστηεν αυτς ἐντη πολει
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,καὶ ὅξεπορνευσανπας ιἡλοπισω αυτοῦ ἐκεῖι
102 Bodleian-Library-MS-Barocci-102_00166_fol-80r.jpg,κεγενετοτωγεδων και τῷ οικῷ αυτοῦ εισσκανδολο
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,αταάτυσοιδέτου σν ὁλά τά σάφη
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,φῶν χυργξαω τεγτοῦ θρετατι ἐ
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,τα εραι κρει τα τυ ρτα ρα αγως
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,κατῦδει ν δουδεν ἐυτριξιξαςπω
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,φοῦ δίαι ποτιτλεσπυερια ξληη
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,ἀλλοῖσιτουτ᾽ πλειοσιμαγουτητηςν
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,ουκαρκααρ ἀφομιν οὐ διν ανλόν
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,τλγδει αε ρι αρ τατξαλη
103 Bodleian-Library-MS-Barocci-66_00324_fol-157r.jpg,χωρ ειν εσω πρῷα προο μυπανφο ο
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,των γταρτοι συ των εστιν ηε
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,σιλεια τοῦθω αμη λεγω
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,ώμιν ος εαν μηδεξη ταιτῆ
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,βασιλειαν του θυως παι
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,διον οὐ μηειαελθη εις αὐτ
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,καιεν εγκ ἀλισα μενος αὐτα
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,τιθεις τας χειρας επαυτα
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,"ρ υὐλόγειαυτα, καὶ εκ πορεῦ"
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,όμεν ου αὐτοῦ εἰς όδον πρ
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,δρα μων εις καὶ τονυπετηκ
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,οσας αυτὸν επηρωτα αυτόν
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,ραδιδασκαλε αγαθετι ποι
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,ησυω ἵνα ζω ην αὐωνισν κλεη
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,ενομησυω οδε ις ειπεν
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,αὐτῷ τιμελεγεις αγαθόν
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,ουδεις αγαθος εἐιμηςἰς όθς
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,τας ε τολας οιδας μημοι
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,χευσης μήφον εσης μηκ
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,ψης μη ῦδομαρτυρ αυ
104 Bodleian-Library-MS-Barocci-31_00320_fol-157r.jpg,λυαποστερ ήσηξωδεικατόμ
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,φοιν ταῶν χεροιν χκλαφω σιν α
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,γνωσιανι Ὁιμον ὶ ταρη
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,ω τῆς ντίας γραφης παρα κλθημην
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,ι τή σω ματκη τοῦ νομουλατρεί
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,δές μον τεστῆς υχης αξιων
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,ψκε κτῶς ποι ουσιν εαὐτοις σἀλρ κα
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,τὸν λαος αλογων κἔνῶν ουσίαιςξ
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,λυαρε στεισαίνομνη όντες τὸν δν
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,σις πολυτο σω μαπεφρονεη στα
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,"οις ἐκ τος καραρσιοις, τῆς δὲχ"
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,χῆς παρμέλητ ῳ καλλος ταν
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,τῶν πας κηλίσιστιόμενὑπερηε
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,ἢ πάλητωνοωμεη προφεφληται
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,"δυναμις, καὶ πς λοθεις νομος ἐη"
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,δεδοα ἑτρτ ντις πτωσιν κ ανα
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,στασιν πολλεν τωνηλς κ ειθιταν
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,κνλέγει ζὉ ενατελιον. οὐ κ δνσκο
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,πησώμε μη πως εις πτ σινμενν
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,τὲ πρμον ην τὴν αν θησιν τὴν σρ
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,μενηθεωροῦν τῶν κτεισιν καὶ τῶν μο
105 Bodleian-Library-MS-Barocci-59_00085_fol-47v.jpg,νω τῷ ραυτως τον χουντων της α
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,αὐδὲ τῶν ἀνῶν επικουριαι σουμην εὐόντος ματαιοι διοεικότως ἐ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,πηγεγεν. δἢ τῷ θωτοιηςόμεηιναμιν καὶ τος εξον αερ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,νωρ εὶ τοῖ θλιροητας ἡμας. ε τὴν αυτοῦ φησιν επικαλεσόμεθα
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,προνοιαν εὐτῆ αυτοῦ δυναμειθάρρήσωμεν αὐτῆσαράρκείμον ηλύσαι
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,ταχάλεπα κ τῶν πολεμουντων ἡμιν και ταλύσαι τὴν δνα στείαντ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,εις τὸ τελος ἐίύὑμένοις τῷ δαότ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,πωτελεὶ του προτεταμενουταλου ἀκολουθει ηυ τοῦ δὲ τοῦταλμε
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,τὸ προοιμιον· εἶρηκῶς γὰρ εντω θω ποιήσοου γας οήμεν δυναμιν
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,καὶ αὐτὸς ἐλ ου δενωσει τοὺς θλικοντας η δεξυκμωωμας διδας
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,κειτον ἐντήαιχμαλωσία λαον· ὁποιαν εοὐδτ εαὑπροσηκεἰὶ προ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,ἐνεγκειν τῶθῷ προς ευχην διεακονεοδευ όθε τῆρ αεης ε
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,εμόντιροχες τητηρος εξχήμους ε κώξαι μου φήσιν την
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,"ζκετείαν ώδέσποτα, καὶ ευμενῶς ἀκουσον τῶν τῆς προς εὐυχης"
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,μουθηματῶν ειτα διδάσκεῖ τιν εοι ευχόμενοις τςι
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,έτο τω νερα τῷη τῆς γής γερος ςεἐκεκραξα πειδὴ γάρπο
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,λλοις στα δμοις ἡβα βωλῶν τῆς παλαιστίν ης ἀφεστηκεν τας εσ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,τίας ὑπελαμμανοντῆς οικουμενης οἶκεῖν· οι εξανδρα πο
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,"δις θεντες, και κεῖν ην ην αγκας μενοι την χην οικεῖντ"
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,ιν τνακήζίαίαὶ τὴν καρείαμ μον ἐε τρα ζτωαιμες τ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,εικεταωδεσ τή σαρασου τυχαγωίίας τύχειν ὁδνώμενος γαρ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,εαι τή σσης ἐπικουρίας ἀπελαυσα τῶν πολεμιων ὑπερ τῦο
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,ἐγενόμην ἵς. αραή τήςαε μεό τιεγεζήθης ἐλγειεμοητιγριος
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,εχ οε ατιόγιροςωτιον εχθρόν εἰήσσης προνοίας μετασχει
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,ἐλπίσας οὐδζήμαρτον τῆς ἐλπίδος ἐγενου γὰροικ ποςδητος
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,"καὶ πύργος ισχυρος, διαγὰρ τήσσης κηδεμονίας τας τῶν ε"
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,σερ ὸν επιβουλας δια δρας τευξόμαι τῆς ἐπανόδουτ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,γαροικῆωε τω κὴ ω ματιςο εις τὸναιώηας εἐκετγίας θη
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,ζομαιἐν τῆς κετιη τωητητερηξωηςουτ Ὁκὴνωμα τοῦ θυ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,τὴν ιλήμονομαζεῖ ἐν εκεῖν η γαρ εσποιειτο τὴν προς αὐτοὺς ἐπι
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,φανείαν λεγεὶ τοιναω ότι τῆς ἐπανοδουτετυχηκως ἐνδελεχως
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,"λοιπον τῶσω προς εδρευωναω, καὶ τή σαρασου ους προνοι"
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,ας ἀπολαυσω πτερ υγας γὰρ τὴν τοῦ θυ κη δεμο τκ κο ταχρληω
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,νιαν καλει τόδὲ εἰς τουὺς ἀίωνας ἀντὶτοῦ διὴνε το ισακατς
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,κῶς τεθείκεντ ὅτιεύδθεειεηκονεας τάν ευάσκβόγ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,εδωκαὶ κληὴροομιαντοιεφοβουμένοις τὸ ιουταξογτ
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,γιμνῷ δεσστε δια παντος σστειδητας ἐμας δεξαμενοςικετείας
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,τὴν ἐπαγγελθείσαν τοι σπροσγονοις ἡμῶν κληρονομίαν ἡμιν
106 Bodleian-Library-MS-Barocci-132_00248_fol-118r.jpg,υτοῖς ἐκείνων εγγήνοις ἀπεδωκας ταῦτα δελεγουσινευθηυς ατ
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,παυλοσλεγων χε ημας εξηγορασεν εκ τῆς
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,καταρας τοῦ νομου γενομενος υπερημῶν κα
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,ταρα ειτοινην αυτοςθες ων ι της ουσιας εκει
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,ης της απορρη του τυγχανων δια φιλανιαν
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,αφατον ταυτα απαντα κατεδεξατο διημας
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,την σφιαν την ημετεραν τι ουκαν ειημεναυ
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,τοι δικαιον περι τους ομογενεις επιδειξασθαι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,ταμελητα ημετερα ωστεκαι της φαρυγγος
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,αυτος εξαρ πασαι του διαβόλου και προς την
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,της αρετης όδινχειραγωμισαι όσω γαρψυχι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,σωματος κρειτγων τοσουτον των χρημασι βοη
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,θουντων τοις δεομενοις ουτωμει ναναφι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,οανται των αμοιμων οιδια της παρινεσε
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,ωσκαι της συνεχους διδασκαλιας τους βα
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,θυθφυς και αναπεπτωκοτας εν αγοντες επι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,τηνευθειαν όδον και δειηναντες της μενκα
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,κι ας τοδυσοδες τησδεκαταθναρετης την
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,πολλην ευμορφιαν ταυτα τοῖνην απαντα
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,ιδοτες προτων αλλων απαντων των κιω τι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,κῶν περιτης κατα ψυχην σριας διαλεγομε
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,θα τοις πλησιον εις ταυτην αυτοὺς εναγιντες
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,την μεριμναν αγαπητον γαρ αγαπητον συ
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,εχως ταυτα ενηχουμενην ψυχην δυν ηθη
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,αι ανεν εγκειν εκ τῆς αλω σσου των κακων
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,των εντωμεσωστρεφομενων και περιγενεσθαι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,της των παθων επαναστασεος απερδι
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,ην εκως πολιορκειτην ημετεραν ψυχην οῳδια
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,τουτοχρεία κμειν πολλης της αγρυπνιας
107 Bodleian-Library-MS-Barocci-184_00040_fol-20r.jpg,επειδη και διην εκης ημιν εστιν οπολεμοσς
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,καλωςόψωμεθα ότι ουδε προς το πολλωστον μερος
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,των παρα τουθυ εις ημας υπηργμενων εισηνεγκα
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,μεν και γαρ εκαστος τωφν αγιων εντευθἐεν ευδοκιμη
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,σεν και ινα μαθης ακουε του της οικουμενης
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,διδασκαλο τνης ουν ομηκης εκειυης ψυχης πως
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ομετα τοσαυτα καταρθωματα μετα το σαυτη  ν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,νωρθν μαρτυειαν σκευος γαρ φησιν εκλογης εστιν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,μοι ουτος ουκ επιλανθαεετοι των αικειων πλημμν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,λαματων αλλ αμφοην ταυτι περιστρεφει και
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,υπερ ων πεπληροφορητο ότι την συγχω
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,εδεξατο δια του βαπτισματος ουδε τουτων
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,επιΚλαθεσῇθαι ανεχεται αλλα και βοα και λεγει βότι
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τελειοτερων ελαχιστος ειμι των αποστολων και ουκ ειμι ικανος
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,καλεισθατ αποσοολτς ειτα ινα ιην υπερβολην
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,αυτου της ταπεινοφροσυνης
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,προσεθηκεν διότι εδιωξα την εκκλησιαν του θυ μνηστευομενου
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τι ποιεις ω παυλε ο δεσποτης δια την οικειαν δυναμένων
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,φιλοτιμιαν συνεχωρησεν και απηλειψε δόμουςἀλλ᾽ παντα
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τα ηεαρτημενα και συ ταυτα στραφεις και
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,οιδα φησιν και ουκ αγνοω του δεοπστου του εμου την
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,λυσιν αλλ όταν εννοησω τα εμοι ειργασμενα και
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ἐπιβουλὰς ιδω το πελαγος της του θυ φιλανιας τοτε
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,μανθανω καλως ότι χαριτι αυτου και φιλανια
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ειμι ο ειμι ειπων γαρ ότι ουκ ειμι ικανος καλεισθαι
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,οἴσουσ᾽ αποστολος διότι εδιωξα την εκκλησιαν του θυ επη
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,γαγενχαριτι δε θυ ειμι ο ουκ ειμι εγω μεν φησιν
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,τοσαυτην επεδειξα την μανιαν παραλαβουσα η δε αφατος
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,αυτου αγπαθοτης και χαρις την συγχωάρησιν εχαρισςατο
10th Bodleian-Library-MS-Barocci-184_00625_fol-312r,ειδες ψυχην συντετριμμενην και των προ βα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,αιν τους μηδους οιτινες ουτἅε α᾿ργυἰρτω παρα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,πειθησονται ουτε χρυσδω ουδε ιυνησεσθε
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,υμεις οιβαβυλωνιοι τη περιουσια του πλουτου
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,εξωνηηασθαι παρ αυτων το μσδεν παθειν ουδε
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,γαρ εισιὲν επτοημενοι περιζ χρηματα τλω και αυ
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,τοι υπερπλουτειν διοπερ ουδεεν τοις πολε
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,μοέὣιἙς περισπωνται υπο της νυκροσυλιας ου
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,δεασχολουνται την βιαν και το λαμβα
11th Bodleian-Library-MS-Barocci-102_00403_fol-198r,νειν οἰκείαν παρα των εαλωκότων αγεννες οιονται αλ
